date_of_inclusion,company_added,added_ticker,company_removed,removed_ticker
2026-06-29,Alphabet Inc.,GOOGL,Verizon Communications,VZ
2024-11-08,Sherwin-Williams,SHW,Dow Inc.,DOW
2024-11-08,Nvidia,NVDA,Intel Corporation,INTC
2024-02-26,Amazon,AMZN,Walgreens Boots Alliance,WBA
2020-08-31,Salesforce,CRM,ExxonMobil,XOM
2020-08-31,Honeywell,HON,Raytheon Technologies,RTX
2020-08-31,Amgen,AMGN,Pfizer,PFE
2019-04-02,Dow Inc.,DOW,DowDuPont (Spin-off),DWDP
2018-06-26,Walgreens Boots Alliance,WBA,General Electric (GE),GE
2015-03-19,Apple,AAPL,AT&T,T
2013-09-22,Goldman Sachs,GS,Alcoa,AA
2013-09-22,Visa,V,Hewlett-Packard,HPQ
2013-09-22,Nike,NKE,Bank of America,BAC
2012-09-24,UnitedHealth Group,UNH,Kraft Foods,KFT
2009-06-08,Travelers Companies,TRV,Citigroup,C
2009-06-08,Cisco Systems,CSCO,General Motors,GM
2008-09-22,Kraft Foods,KFT,American International Group (AIG),AIG
2008-02-19,Chevron,CVX,Altria Group,MO
2008-02-19,Bank of America,BAC,Honeywell,HON
2004-04-08,Verizon Communications,VZ,AT&T Corp.,T
2004-04-08,American International Group (AIG),AIG,Eastman Kodak,EK
2004-04-08,Pfizer,PFE,International Paper,IP
1999-11-01,Microsoft,MSFT,Goodyear Tire & Rubber,GT
1999-11-01,Intel Corporation,INTC,Sears Roebuck,S
1999-11-01,Home Depot,HD,Union Carbide,UK
1999-11-01,SBC Communications,SBC,Chevron,CHV
