Fiscal Year,Period End,Revenue,Net Income,Diluted EPS,Source
2010,2010-12-25,,,0.64,10-K
2011,2011-12-31,,,0.66,10-K
2012,2012-12-29,,-1183000000.0,-1.6,10-K
2013,2013-12-28,,-83000000.0,-0.11,10-K
2014,2014-12-27,,-403000000.0,-0.53,10-K
2015,2015-12-26,,-660000000.0,-0.84,10-K
2016,2016-12-31,,-497000000.0,-0.6,10-K
2017,2017-12-30,,43000000.0,0.04,10-K
2018,2018-12-29,6475000000.0,337000000.0,0.32,10-K
2019,2019-12-28,6731000000.0,341000000.0,0.3,10-K
2020,2020-12-26,9763000000.0,2490000000.0,2.06,10-K
2021,2021-12-25,16434000000.0,3162000000.0,2.57,10-K
2022,2022-12-31,23601000000.0,1320000000.0,0.84,10-K
2023,2023-12-30,22680000000.0,854000000.0,0.53,10-K
2024,2024-12-28,25785000000.0,1641000000.0,1.0,10-K
2025,2025-12-27,34639000000.0,4335000000.0,2.65,10-K
