Fiscal Year,Quarter,Period End,Revenue,Net Income,Diluted EPS,Source
2010,Q2,2010-06-26,,,-0.06,10-Q
2010,Q3,2010-09-25,,,-0.17,10-Q
2011,Q1,2011-04-02,,,0.68,10-Q
2011,Q2,2011-07-02,,,0.08,10-Q
2011,Q3,2011-10-01,,,0.13,10-Q
2011,Q4,2011-12-31,,,,10-K derived
2012,Q1,2012-03-31,,,-0.8,10-Q
2012,Q2,2012-06-30,,,0.05,10-Q
2012,Q3,2012-09-29,,,-0.21,10-Q
2012,Q4,2012-12-29,,,,10-K derived
2013,Q1,2013-03-30,,-146000000.0,-0.19,10-Q
2013,Q2,2013-06-29,,-74000000.0,-0.1,10-Q
2013,Q3,2013-09-28,,48000000.0,0.06,10-Q
2013,Q4,2013-12-28,,89000000.0,,10-K derived
2014,Q1,2014-03-29,,-20000000.0,-0.03,10-Q
2014,Q2,2014-06-28,,-36000000.0,-0.05,10-Q
2014,Q3,2014-09-27,,17000000.0,0.02,10-Q
2014,Q4,2014-12-27,,-364000000.0,,10-K derived
2015,Q1,2015-03-28,,-180000000.0,-0.23,10-Q
2015,Q2,2015-06-27,,-181000000.0,-0.23,10-Q
2015,Q3,2015-09-26,,-197000000.0,-0.25,10-Q
2015,Q4,2015-12-26,,-102000000.0,,10-K derived
2016,Q1,2016-03-26,,-109000000.0,-0.14,10-Q
2016,Q2,2016-06-25,,69000000.0,0.08,10-Q
2016,Q3,2016-09-24,,-406000000.0,-0.5,10-Q
2016,Q4,2016-12-31,,-51000000.0,,10-K derived
2017,Q1,2017-04-01,,-73000000.0,-0.08,10-Q
2017,Q2,2017-07-01,,-16000000.0,-0.02,10-Q
2017,Q3,2017-09-30,,71000000.0,0.07,10-Q
2017,Q4,2017-12-30,,61000000.0,,10-K derived
2018,Q1,2018-03-31,,81000000.0,0.08,10-Q
2018,Q2,2018-06-30,1756000000.0,116000000.0,0.11,10-Q
2018,Q3,2018-09-29,1653000000.0,102000000.0,0.09,10-Q
2018,Q4,2018-12-29,,38000000.0,,10-K derived
2019,Q1,2019-03-30,1272000000.0,16000000.0,0.01,10-Q
2019,Q2,2019-06-29,1531000000.0,35000000.0,0.03,10-Q
2019,Q3,2019-09-28,1801000000.0,120000000.0,0.11,10-Q
2019,Q4,2019-12-28,2127000000.0,170000000.0,,10-K derived
2020,Q1,2020-03-28,1786000000.0,162000000.0,0.14,10-Q
2020,Q2,2020-06-27,1932000000.0,157000000.0,0.13,10-Q
2020,Q3,2020-09-26,2801000000.0,390000000.0,0.32,10-Q
2020,Q4,2020-12-26,3244000000.0,1781000000.0,,10-K derived
2021,Q1,2021-03-27,3445000000.0,555000000.0,0.45,10-Q
2021,Q2,2021-06-26,3850000000.0,710000000.0,0.58,10-Q
2021,Q3,2021-09-25,4313000000.0,923000000.0,0.75,10-Q
2021,Q4,2021-12-25,4826000000.0,974000000.0,,10-K derived
2022,Q1,2022-03-26,5887000000.0,786000000.0,0.56,10-Q
2022,Q2,2022-06-25,6550000000.0,447000000.0,0.27,10-Q
2022,Q3,2022-09-24,5565000000.0,66000000.0,0.04,10-Q
2022,Q4,2022-12-31,5599000000.0,21000000.0,,10-K derived
2023,Q1,2023-04-01,5353000000.0,-139000000.0,-0.09,10-Q
2023,Q2,2023-07-01,5359000000.0,27000000.0,0.02,10-Q
2023,Q3,2023-09-30,5800000000.0,299000000.0,0.18,10-Q
2023,Q4,2023-12-30,6168000000.0,667000000.0,,10-K derived
2024,Q1,2024-03-30,5473000000.0,123000000.0,0.07,10-Q
2024,Q2,2024-06-29,5835000000.0,265000000.0,0.16,10-Q
2024,Q3,2024-09-28,6819000000.0,771000000.0,0.47,10-Q
2024,Q4,2024-12-28,7658000000.0,482000000.0,,10-K derived
2025,Q1,2025-03-29,7438000000.0,709000000.0,0.44,10-Q
2025,Q2,2025-06-28,7685000000.0,872000000.0,0.54,10-Q
2025,Q3,2025-09-27,9246000000.0,1243000000.0,0.75,10-Q
2025,Q4,2025-12-27,10270000000.0,1511000000.0,,10-K derived
2026,Q1,2026-03-28,10253000000.0,1383000000.0,0.84,10-Q
2026,Q2,2026-06-27,11536000000.0,2297000000.0,1.38,10-Q
