Fiscal Year,Period End,Revenue,Net Income,Diluted EPS,Source
2010,2010-06-30,,18760000000.0,2.1,10-K
2011,2011-06-30,,23150000000.0,2.69,10-K
2012,2012-06-30,,16978000000.0,2.0,10-K
2013,2013-06-30,,21863000000.0,2.58,10-K
2014,2014-06-30,,22074000000.0,2.63,10-K
2015,2015-06-30,,12193000000.0,1.48,10-K
2016,2016-06-30,,16798000000.0,2.1,10-K
2017,2017-06-30,,21204000000.0,2.71,10-K
2018,2018-06-30,110360000000.0,16571000000.0,2.13,10-K
2019,2019-06-30,125843000000.0,39240000000.0,5.06,10-K
2020,2020-06-30,143015000000.0,44281000000.0,5.76,10-K
2021,2021-06-30,168088000000.0,61271000000.0,8.05,10-K
2022,2022-06-30,198270000000.0,72738000000.0,9.65,10-K
2023,2023-06-30,211915000000.0,72361000000.0,9.68,10-K
2024,2024-06-30,245122000000.0,88136000000.0,11.8,10-K
2025,2025-06-30,281724000000.0,101832000000.0,13.64,10-K
2026,2026-06-30,331839000000.0,133749000000.0,17.95,10-K
