Fiscal Year,Quarter,Period End,Revenue,Net Income,Diluted EPS,Source
2010,Q3,2010-03-31,,4006000000.0,0.45,10-Q
2011,Q1,2010-09-30,,5410000000.0,0.62,10-Q
2011,Q2,2010-12-31,,6634000000.0,0.77,10-Q
2011,Q3,2011-03-31,,5232000000.0,0.61,10-Q
2011,Q4,2011-06-30,,5874000000.0,,10-K derived
2012,Q1,2011-09-30,,5738000000.0,0.68,10-Q
2012,Q3,2012-03-31,,5108000000.0,0.6,10-Q
2013,Q1,2012-09-30,,4466000000.0,0.53,10-Q
2013,Q2,2012-12-31,,6377000000.0,0.76,10-Q
2013,Q3,2013-03-31,,6055000000.0,0.72,10-Q
2013,Q4,2013-06-30,,4965000000.0,,10-K derived
2014,Q1,2013-09-30,,5244000000.0,0.62,10-Q
2014,Q2,2013-12-31,,6558000000.0,0.78,10-Q
2014,Q3,2014-03-31,,5660000000.0,0.68,10-Q
2014,Q4,2014-06-30,,4612000000.0,,10-K derived
2015,Q1,2014-09-30,,4540000000.0,0.54,10-Q
2015,Q2,2014-12-31,,5863000000.0,0.71,10-Q
2015,Q3,2015-03-31,,4985000000.0,0.61,10-Q
2015,Q4,2015-06-30,,-3195000000.0,,10-K derived
2016,Q1,2015-09-30,,4620000000.0,0.57,10-Q
2016,Q2,2015-12-31,,4998000000.0,0.62,10-Q
2016,Q3,2016-03-31,,3756000000.0,0.47,10-Q
2016,Q4,2016-06-30,,3424000000.0,,10-K derived
2017,Q1,2016-09-30,,4690000000.0,0.6,10-Q
2017,Q2,2016-12-31,,5200000000.0,0.66,10-Q
2017,Q3,2017-03-31,,4801000000.0,0.61,10-Q
2017,Q4,2017-06-30,,6513000000.0,,10-K derived
2018,Q1,2017-09-30,,6576000000.0,0.84,10-Q
2018,Q2,2017-12-31,,-6302000000.0,-0.82,10-Q
2018,Q3,2018-03-31,,7424000000.0,0.95,10-Q
2018,Q4,2018-06-30,,8873000000.0,,10-K derived
2019,Q1,2018-09-30,29084000000.0,8824000000.0,1.14,10-Q
2019,Q2,2018-12-31,32471000000.0,8420000000.0,1.08,10-Q
2019,Q3,2019-03-31,30571000000.0,8809000000.0,1.14,10-Q
2019,Q4,2019-06-30,33717000000.0,13187000000.0,,10-K derived
2020,Q1,2019-09-30,33055000000.0,10678000000.0,1.38,10-Q
2020,Q2,2019-12-31,36906000000.0,11649000000.0,1.51,10-Q
2020,Q3,2020-03-31,35021000000.0,10752000000.0,1.4,10-Q
2020,Q4,2020-06-30,38033000000.0,11202000000.0,,10-K derived
2021,Q1,2020-09-30,37154000000.0,13893000000.0,1.82,10-Q
2021,Q2,2020-12-31,43076000000.0,15463000000.0,2.03,10-Q
2021,Q3,2021-03-31,41706000000.0,15457000000.0,2.03,10-Q
2021,Q4,2021-06-30,46152000000.0,16458000000.0,,10-K derived
2022,Q1,2021-09-30,45317000000.0,20505000000.0,2.71,10-Q
2022,Q2,2021-12-31,51728000000.0,18765000000.0,2.48,10-Q
2022,Q3,2022-03-31,49360000000.0,16728000000.0,2.22,10-Q
2022,Q4,2022-06-30,51865000000.0,16740000000.0,,10-K derived
2023,Q1,2022-09-30,50122000000.0,17556000000.0,2.35,10-Q
2023,Q2,2022-12-31,52747000000.0,16425000000.0,2.2,10-Q
2023,Q3,2023-03-31,52857000000.0,18299000000.0,2.45,10-Q
2023,Q4,2023-06-30,56189000000.0,20081000000.0,,10-K derived
2024,Q1,2023-09-30,56517000000.0,22291000000.0,2.99,10-Q
2024,Q2,2023-12-31,62020000000.0,21870000000.0,2.93,10-Q
2024,Q3,2024-03-31,61858000000.0,21939000000.0,2.94,10-Q
2024,Q4,2024-06-30,64727000000.0,22036000000.0,,10-K derived
2025,Q1,2024-09-30,65585000000.0,24667000000.0,3.3,10-Q
2025,Q2,2024-12-31,69632000000.0,24108000000.0,3.23,10-Q
2025,Q3,2025-03-31,70066000000.0,25824000000.0,3.46,10-Q
2025,Q4,2025-06-30,76441000000.0,27233000000.0,,10-K derived
2026,Q1,2025-09-30,77673000000.0,27747000000.0,3.72,10-Q
2026,Q2,2025-12-31,81273000000.0,38458000000.0,5.16,10-Q
2026,Q3,2026-03-31,82886000000.0,31778000000.0,4.27,10-Q
2026,Q4,2026-06-30,90007000000.0,35766000000.0,,10-K derived
