ipo_date,symbol,company_name,ipo_price,current,return
2025-12-23,SCPQ,Social Commerce Partners Corporation,10.00,9.98,-0.20
2025-12-23,SVAQ,Silicon Valley Acquisition Corp.,10.00,10.07,0.70
2025-12-19,BEBE,TGE Value Creative Solutions Corp,10.00,9.97,-0.30
2025-12-18,ADAC,American Drive Acquisition Company,10.00,10.01,0.40
2025-12-18,LPCV,Launchpad Cadenza Acquisition Corp I,10.00,10.00,
2025-12-18,VHCP,Vine Hill Capital Investment Corp. II,10.00,10.01,0.10
2025-12-17,ANDG,Andersen Group Inc.,16.00,36.74,129.63
2025-12-17,CCXI,Churchill Capital Corp XI,10.00,11.99,19.90
2025-12-17,IRHO,Iron Horse Acquisitions Corp. II,10.00,10.07,0.70
2025-12-17,MDLN,Medline Inc.,29.00,36.05,24.31
2025-12-16,CRAN,Crane Harbor Acquisition Corp. II,10.00,10.11,1.10
2025-12-12,ITHA,ITHAX Acquisition Corp III,10.00,9.97,-0.30
2025-12-12,TWLV,Twelve Seas Investment Company III,10.00,10.00,
2025-12-12,WLTH,Wealthfront Corporation,14.00,8.07,-42.36
2025-12-11,BLRK,Bluerock Acquisition Corp.,10.00,9.99,-0.10
2025-12-11,KBON,Karbon Capital Partners Corp.,10.00,10.07,0.70
2025-12-11,LMRI,"Lumexa Imaging Holdings, Inc.",18.50,9.98,-46.05
2025-12-10,CDNL,Cardinal Infrastructure Group Inc.,21.00,81.94,290.19
2025-12-10,JMG,JM Group Limited,4.00,6.61,65.25
2025-12-10,MESH,Meshflow Acquisition Corp.,10.00,9.99,-0.10
2025-12-09,DSAC,Daedalus Special Acquisition Corp.,10.00,10.05,0.50
2025-12-05,LFAC,Leapfrog Acquisition Corporation,10.00,10.01,0.10
2025-12-04,AEAQ,Activate Energy Acquisition Corp.,10.00,10.00,
2025-12-04,NWAX,New America Acquisition I Corp.,10.00,10.05,0.50
2025-12-04,RGNT,Regentis Biomaterials Ltd.,8.00,4.20,-47.50
2025-12-04,SAC,Safeguard Acquisition Corp.,10.00,10.02,0.20
2025-12-04,SMJF,SMJ International Holdings Inc.,4.00,5.20,30.00
2025-12-03,GPAC,General Purpose Acquisition Corp.,10.00,10.01,0.10
2025-12-03,PARK,"Park Dental Partners, Inc.",13.00,17.30,37.39
2025-12-03,SBXE,SilverBox Corp V,10.00,10.05,0.50
2025-12-02,BIXI,Bitcoin Infrastructure Acquisition Corp Ltd.,10.00,10.00,
2025-11-26,SCII,SC II Acquisition Corp.,10.00,10.05,0.50
2025-11-25,IGAC,Invest Green Acquisition Corporation,10.00,10.01,0.10
2025-11-21,HCAC,Hall Chadwick Acquisition Corp.,10.00,10.03,0.30
2025-11-19,GLOO,"Gloo Holdings, Inc.",8.00,4.53,-43.38
2025-11-13,NXB,NextBoat Inc.,,2.08,
2025-11-13,POAS,Phaos Technology Holdings (Cayman) Limited,4.00,0.287,-92.83
2025-11-12,BPAC,Blueport Acquisition Ltd,10.00,10.12,1.20
2025-11-11,EVOX,Evolution Global Acquisition Corp,10.00,10.01,0.30
2025-11-07,CRAC,Crown Reserve Acquisition Corp. I,10.00,10.12,1.20
2025-11-07,TDWD,Tailwind 2.0 Acquisition Corp.,10.00,10.04,0.40
2025-11-06,AERO,"Grupo Aeroméxico, S.A.B. de C.V.",19.00,17.70,-6.84
2025-11-06,BLLN,"BillionToOne, Inc.",60.00,107.74,79.57
2025-11-06,EVMN,"Evommune, Inc.",16.00,23.56,47.25
2025-11-05,ELWT,"Elauwit Connection, Inc.",9.00,6.10,-32.08
2025-11-05,XZO,"Exzeo Group, Inc.",21.00,14.43,-31.29
2025-11-04,BETA,"BETA Technologies, Inc.",34.00,15.68,-53.88
2025-11-04,CEPV,"Cantor Equity Partners V, Inc.",10.00,10.32,3.20
2025-11-04,WSTN,Westin Acquisition Corp,10.00,10.11,1.10
2025-10-31,VACI,Viking Acquisition Corp. I,10.00,10.22,2.20
2025-10-30,DNMX,Dynamix Corporation III,10.00,10.00,0.10
2025-10-30,NAVN,"Navan, Inc.",25.00,21.78,-12.88
2025-10-29,DYOR,Insight Digital Partners II,10.00,10.05,0.50
2025-10-28,APXT,Apex Treasury Corporation,10.00,10.06,0.55
2025-10-27,MPLT,"MapLight Therapeutics, Inc.",17.00,30.65,80.29
2025-10-24,LAFA,LaFayette Acquisition Corp.,10.00,10.11,1.10
2025-10-23,HAVA,Harvard Ave Acquisition Corporation,10.00,10.12,1.20
2025-10-23,MMTX,Miluna Acquisition Corp,10.00,10.12,1.20
2025-10-22,AGCC,Agencia Comercial Spirits Ltd,4.00,15.04,276.00
2025-10-22,ALIS,Calisa Acquisition Corp,10.00,10.12,1.20
2025-10-22,NPT,Texxon Holding Limited,5.00,2.35,-53.00
2025-10-21,AHMA,Ambitions Enterprise Management Co. L.L.C,4.00,1.94,-51.50
2025-10-21,BGIN,Bgin Blockchain Limited,6.00,1.90,-68.33
2025-10-21,MCTA,Charming Medical Limited,4.00,29.11,627.75
2025-10-17,ACCL,Acco Group Holdings Limited,4.00,1.72,-57.00
2025-10-15,SLGB,Smart Logistics Global Limited,5.00,0.58,-88.40
2025-10-15,TCGL,TechCreate Group Ltd.,4.00,172.84,4817.75
2025-10-14,RPGL,Republic Power Group Limited,4.00,2.08,-48.00
2025-10-09,ALH,Alliance Laundry Holdings Inc.,22.00,26.12,18.73
2025-10-09,LFS,"Leifras Co., Ltd.",4.00,2.39,-40.25
2025-10-09,PXED,"Phoenix Education Partners, Inc.",32.00,31.51,-1.53
2025-10-09,YDDL,One and one Green Technologies. Inc,5.00,2.41,-51.80
2025-10-08,POM,Pomdoctor Limited,4.00,1.33,-66.75
2025-10-07,LKSP,Lake Superior Acquisition Corp.,10.00,10.15,1.50
2025-10-06,GIW,GigCapital8 Corp.,10.00,10.07,0.70
2025-10-03,AIIA,AI Infrastructure Acquisition Corp.,10.00,10.23,2.30
