requested_universe=russell3000_current
requested_symbols=2892
requested_yfinance_rows=13235375
requested_distinct_symbols=2863
requested_start_ts=1997-01-02 00:00:00
requested_end_ts=2026-06-15 00:00:00
requested_symbols_with_rows=2863
requested_symbols_missing_rows=29
missing_symbols=HEI.A,LEN.B,BF.A,MOG.A,GEF.B,RCAT,DEC,LMRI,NBBK,ABX,BFS,XNCR,AMPL,SHEN,JCAP,RPC,PCRX,GLIBK,KOPN,MEC,RZLV,CRSR,BOW,GLIBA,THFF,KFRC,FTK,CRD.A,VHI
NVDA: rows=6890 start=1999-01-22 00:00:00 end=2026-06-12 00:00:00
GOOGL: rows=5489 start=2004-08-19 00:00:00 end=2026-06-12 00:00:00
GOOG: rows=5489 start=2004-08-19 00:00:00 end=2026-06-12 00:00:00
AAPL: rows=7408 start=1997-01-02 00:00:00 end=2026-06-12 00:00:00
MSFT: rows=7408 start=1997-01-02 00:00:00 end=2026-06-12 00:00:00
AMZN: rows=7315 start=1997-05-15 00:00:00 end=2026-06-12 00:00:00
AVGO: rows=4239 start=2009-08-06 00:00:00 end=2026-06-12 00:00:00
TSLA: rows=4014 start=2010-06-29 00:00:00 end=2026-06-12 00:00:00
META: rows=3537 start=2012-05-18 00:00:00 end=2026-06-12 00:00:00
MU: rows=7408 start=1997-01-02 00:00:00 end=2026-06-12 00:00:00
LLY: rows=7408 start=1997-01-02 00:00:00 end=2026-06-12 00:00:00
BRK.B: rows=7408 start=1997-01-02 00:00:00 end=2026-06-12 00:00:00
WMT: rows=7408 start=1997-01-02 00:00:00 end=2026-06-12 00:00:00
JPM: rows=7408 start=1997-01-02 00:00:00 end=2026-06-12 00:00:00
AMD: rows=7408 start=1997-01-02 00:00:00 end=2026-06-12 00:00:00
INTC: rows=7408 start=1997-01-02 00:00:00 end=2026-06-12 00:00:00
XOM: rows=7408 start=1997-01-02 00:00:00 end=2026-06-12 00:00:00
V: rows=4588 start=2008-03-19 00:00:00 end=2026-06-12 00:00:00
JNJ: rows=7408 start=1997-01-02 00:00:00 end=2026-06-12 00:00:00
ORCL: rows=7408 start=1997-01-02 00:00:00 end=2026-06-12 00:00:00
