symbol,provider_symbol,name,exchange,currency,sector,industry
EURUSD,EURUSD=X,EUR/USD,FX,USD,Forex,Major Pair
GBPUSD,GBPUSD=X,GBP/USD,FX,USD,Forex,Major Pair
USDJPY,JPY=X,USD/JPY,FX,JPY,Forex,Major Pair
USDCHF,CHF=X,USD/CHF,FX,CHF,Forex,Major Pair
USDCAD,CAD=X,USD/CAD,FX,CAD,Forex,Major Pair
AUDUSD,AUDUSD=X,AUD/USD,FX,USD,Forex,Major Pair
NZDUSD,NZDUSD=X,NZD/USD,FX,USD,Forex,Major Pair
EURGBP,EURGBP=X,EUR/GBP,FX,GBP,Forex,Cross Pair
EURJPY,EURJPY=X,EUR/JPY,FX,JPY,Forex,Cross Pair
EURCHF,EURCHF=X,EUR/CHF,FX,CHF,Forex,Cross Pair
EURCAD,EURCAD=X,EUR/CAD,FX,CAD,Forex,Cross Pair
EURAUD,EURAUD=X,EUR/AUD,FX,AUD,Forex,Cross Pair
EURNZD,EURNZD=X,EUR/NZD,FX,NZD,Forex,Cross Pair
GBPJPY,GBPJPY=X,GBP/JPY,FX,JPY,Forex,Cross Pair
GBPCHF,GBPCHF=X,GBP/CHF,FX,CHF,Forex,Cross Pair
GBPCAD,GBPCAD=X,GBP/CAD,FX,CAD,Forex,Cross Pair
GBPAUD,GBPAUD=X,GBP/AUD,FX,AUD,Forex,Cross Pair
GBPNZD,GBPNZD=X,GBP/NZD,FX,NZD,Forex,Cross Pair
AUDJPY,AUDJPY=X,AUD/JPY,FX,JPY,Forex,Cross Pair
AUDCHF,AUDCHF=X,AUD/CHF,FX,CHF,Forex,Cross Pair
AUDCAD,AUDCAD=X,AUD/CAD,FX,CAD,Forex,Cross Pair
AUDNZD,AUDNZD=X,AUD/NZD,FX,NZD,Forex,Cross Pair
NZDJPY,NZDJPY=X,NZD/JPY,FX,JPY,Forex,Cross Pair
NZDCHF,NZDCHF=X,NZD/CHF,FX,CHF,Forex,Cross Pair
NZDCAD,NZDCAD=X,NZD/CAD,FX,CAD,Forex,Cross Pair
CADJPY,CADJPY=X,CAD/JPY,FX,JPY,Forex,Cross Pair
CADCHF,CADCHF=X,CAD/CHF,FX,CHF,Forex,Cross Pair
CHFJPY,CHFJPY=X,CHF/JPY,FX,JPY,Forex,Cross Pair
