symbol,provider_symbol,name,exchange,currency,sector,industry
MMM,MMM,3M,,USD,Industrials,Industrial Conglomerates
AOS,AOS,A. O. Smith,,USD,Industrials,Building Products
ABT,ABT,Abbott Laboratories,,USD,Health Care,Health Care Equipment
ABBV,ABBV,AbbVie,,USD,Health Care,Biotechnology
ACN,ACN,Accenture,,USD,Information Technology,IT Consulting & Other Services
ADBE,ADBE,Adobe Inc.,,USD,Information Technology,Application Software
AMD,AMD,Advanced Micro Devices,,USD,Information Technology,Semiconductors
AES,AES,AES Corporation,,USD,Utilities,Independent Power Producers & Energy Traders
AFL,AFL,Aflac,,USD,Financials,Life & Health Insurance
A,A,Agilent Technologies,,USD,Health Care,Life Sciences Tools & Services
APD,APD,Air Products,,USD,Materials,Industrial Gases
ABNB,ABNB,Airbnb,,USD,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
AKAM,AKAM,Akamai Technologies,,USD,Information Technology,Internet Services & Infrastructure
ALB,ALB,Albemarle Corporation,,USD,Materials,Specialty Chemicals
ARE,ARE,Alexandria Real Estate Equities,,USD,Real Estate,Office REITs
ALGN,ALGN,Align Technology,,USD,Health Care,Health Care Supplies
ALLE,ALLE,Allegion,,USD,Industrials,Building Products
LNT,LNT,Alliant Energy,,USD,Utilities,Electric Utilities
ALL,ALL,Allstate,,USD,Financials,Property & Casualty Insurance
GOOGL,GOOGL,Alphabet Inc. (Class A),,USD,Communication Services,Interactive Media & Services
GOOG,GOOG,Alphabet Inc. (Class C),,USD,Communication Services,Interactive Media & Services
MO,MO,Altria,,USD,Consumer Staples,Tobacco
AMZN,AMZN,Amazon,,USD,Consumer Discretionary,Broadline Retail
AMCR,AMCR,Amcor,,USD,Materials,Paper & Plastic Packaging Products & Materials
AEE,AEE,Ameren,,USD,Utilities,Multi-Utilities
AEP,AEP,American Electric Power,,USD,Utilities,Electric Utilities
AXP,AXP,American Express,,USD,Financials,Consumer Finance
AIG,AIG,American International Group,,USD,Financials,Multi-line Insurance
AMT,AMT,American Tower,,USD,Real Estate,Telecom Tower REITs
AWK,AWK,American Water Works,,USD,Utilities,Water Utilities
AMP,AMP,Ameriprise Financial,,USD,Financials,Asset Management & Custody Banks
AME,AME,Ametek,,USD,Industrials,Electrical Components & Equipment
AMGN,AMGN,Amgen,,USD,Health Care,Biotechnology
APH,APH,Amphenol,,USD,Information Technology,Electronic Components
ADI,ADI,Analog Devices,,USD,Information Technology,Semiconductors
AON,AON,Aon plc,,USD,Financials,Insurance Brokers
APA,APA,APA Corporation,,USD,Energy,Oil & Gas Exploration & Production
APO,APO,Apollo Global Management,,USD,Financials,Asset Management & Custody Banks
